name,fhispanic,fwhite,fblack,fapi,faian,mhispanic,mwhite,mblack,mapi,maian
Sonal,0,55,0,109,17,0,0,0,0,0
Sondra,45,672,189,89,0,0,0,0,0,0
Song,0,27,0,113,0,0,15,0,63,0
Sonia,2903,2590,1185,1311,145,186,166,76,84,9
Sonja,171,1430,513,171,76,0,0,0,0,0
Sonny,67,175,55,199,0,258,674,211,767,0
Sonya,615,2049,1032,392,0,18,60,30,11,0
Soo,11,18,0,94,0,4,6,0,32,0
Sophia,3548,7563,3807,4188,0,123,263,132,146,0
Sophie,661,2852,783,1107,0,16,68,19,26,0
Soraya,219,379,73,146,73,0,0,0,0,0
Soren,0,102,0,0,0,0,396,0,0,0
Spencer,71,1398,363,319,71,309,6054,1573,1380,309
Spiro,0,0,0,0,0,0,67,0,0,0
